"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","What is it ahead for US Tech Giants? Check what analysts have to say $GOOG $TWTR $AAPL https://t.co/l3Lv2AAjzE https://t.co/aFhTVFvKjP",FALSE,0,NA,2015-12-12 05:16:47,FALSE,NA,"675544804642701313",NA,"<a href=""http://127.0.0.1:3000/"" rel=""nofollow"">Twitter tweets 111</a>","PortfolioBuzz",0,FALSE,FALSE,NA,NA
"12","@DStevems 

I'm longer Twitter $TWTR today than I was yesterday.",FALSE,0,"DStevems",2015-12-12 05:10:04,FALSE,"675540438363734021","675543114375897088","3047860501","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","callspreads",0,FALSE,FALSE,NA,NA
"13","RT @1971capital: All I want for xmas is an essay from @sacca on how $TWTR can disrupt TV by accepting long form vid &amp; launching a YouTube-l…",FALSE,0,NA,2015-12-12 04:49:25,FALSE,NA,"675537920888070144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Antoinehajjar",2,TRUE,FALSE,NA,NA
"14","RT @CarterMansbach: .@twitter changing the way the world communicates @jack @sacca @adambain @omidkordestani @anthonynoto @jess $twtr  http…",FALSE,0,NA,2015-12-12 04:47:32,FALSE,NA,"675537445044244480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Antoinehajjar",1,TRUE,FALSE,NA,NA
"15","@Jesse__Crow it's on my $TWTR  https://t.co/rqC7YiyUrV",FALSE,0,"Jesse__Crow",2015-12-12 04:45:24,FALSE,NA,"675536908982681601","1648791714","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","madaznfootballr",0,FALSE,FALSE,NA,NA
"16","$TWTR OI for maturity 12/11/2015. 24.50 Highest put. 26.00 Highest call. https://t.co/EGyBZeBIoV https://t.co/2npGSqSJ2A",FALSE,0,NA,2015-12-12 04:45:19,FALSE,NA,"675536889156210688",NA,"<a href=""http://maximum-pain.com"" rel=""nofollow"">Maximum-Pain.com</a>","Maximum_Pain_cm",0,FALSE,FALSE,NA,NA
"17","RT @sacca: Yes. $TWTR.  https://t.co/rC8GjDPQ7V",FALSE,0,NA,2015-12-12 04:43:50,FALSE,NA,"675536514424680448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Antoinehajjar",43,TRUE,FALSE,NA,NA
"18","$TWTR Is Twitter stock an attractive bet now? https://t.co/FzrErzHw1d https://t.co/ZHR1BtbEsV",FALSE,0,NA,2015-12-12 04:42:21,FALSE,NA,"675536142637207552",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","amigobulls",0,FALSE,FALSE,NA,NA
"19","https://t.co/JqX1kz8hYt  SuperTrades student on track to $1 million profit 1st year trading! $ADXS $RTRX $ONVO $ECIG $FB $TWTR $LIVE",FALSE,0,NA,2015-12-12 04:41:32,FALSE,NA,"675535933408542721",NA,"<a href=""https://smqueue.com"" rel=""nofollow"">smqueue</a>","SmallCaps33",0,FALSE,FALSE,NA,NA
"20","Monitor your watchlist of assets for tweets - US Tech Giants https://t.co/J74uV6qAnD $AAPL $GOOG $MSFT $FB $TWTR",FALSE,0,NA,2015-12-12 04:40:59,FALSE,NA,"675535797869768705",NA,"<a href=""http://127.0.0.1:3000/"" rel=""nofollow"">Twitter tweets 111</a>","PortfolioBuzz",0,FALSE,FALSE,NA,NA
"21","$TWTR Max Pain is 25.00 for maturity 12/11/2015.  Price = 24.84. https://t.co/CmXwk33EPV",FALSE,0,NA,2015-12-12 04:31:28,FALSE,NA,"675533402624229376",NA,"<a href=""http://maximum-pain.com"" rel=""nofollow"">Maximum-Pain.com</a>","Maximum_Pain_cm",0,FALSE,FALSE,NA,NA
"22","Why access a ticker when you can access a group of tickers - US Tech Giants https://t.co/J74uV6qAnD $AAPL $GOOGL $MSFT $FB $TWTR",FALSE,0,NA,2015-12-12 04:30:47,FALSE,NA,"675533231219990528",NA,"<a href=""http://127.0.0.1:3000/"" rel=""nofollow"">Twitter tweets 111</a>","PortfolioBuzz",0,FALSE,FALSE,NA,NA
"23","@GSD_MDPhD you forgot social media $fb $lnkd $Twtr",FALSE,0,"GSD_MDPhD",2015-12-12 04:27:34,FALSE,"675532064263823360","675532418758123521","564953773","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BigChodu",0,FALSE,FALSE,NA,NA
"24","$twtr this stock makes all its up moves in one weeks time maybe two.  There is no catching the train only patiently average down.",FALSE,1,NA,2015-12-12 04:25:16,FALSE,NA,"675531840061440000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DStevems",0,FALSE,FALSE,NA,NA
"25","https://t.co/pl2kXvMNXW *Free Video* Timothy sykes wants you to become financially free! $FB $TWTR",FALSE,2,NA,2015-12-12 04:22:03,FALSE,NA,"675531034113413121",NA,"<a href=""https://smqueue.com"" rel=""nofollow"">smqueue</a>","RJB_trading2",0,FALSE,FALSE,NA,NA
"26","$twtr $29m exited the stock today.  Pain train not going away.  Why I won't buy above my average. Patience is key.",FALSE,0,NA,2015-12-12 04:21:58,FALSE,NA,"675531012546277376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DStevems",0,FALSE,FALSE,NA,NA
"27","Access curated tweets- high relevancy, less spam - US Tech Giants https://t.co/J74uV6qAnD $AAPL $GOOG $MSFT $FB $TWTR",FALSE,0,NA,2015-12-12 04:16:53,FALSE,NA,"675529730096013313",NA,"<a href=""http://127.0.0.1:3000/"" rel=""nofollow"">Twitter tweets 111</a>","PortfolioBuzz",0,FALSE,FALSE,NA,NA
"28","$twtr Capital Market Laboratories — Breaking: Why Now May Be Time to Buy Twitter https://t.co/58XW0e5X17",FALSE,1,NA,2015-12-12 04:13:00,FALSE,NA,"675528753318109184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Antoinehajjar",0,FALSE,FALSE,NA,NA
"29","RT @alphatrends: 20 min wells spent I promise https://t.co/p57dN7Y3Ji $SPY $IWM $QQQ $AAPL $GPRO $TWTR $AMZN https://t.co/bjVR5ObAZ1",FALSE,0,NA,2015-12-12 04:07:09,FALSE,NA,"675527280479698945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ActionJackson85",8,TRUE,FALSE,NA,NA
"30","@jack $twtr has a problem n it's a big problem. Walk down a street n you'll know what I'm talking about #staccato-talk. It's restricting!",FALSE,0,"jack",2015-12-12 04:01:16,FALSE,NA,"675525802398740480","12","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","KogosHills",0,FALSE,FALSE,NA,NA
"31","RT @WarriorNewsFeed: Day Trading Strategies | We Teach You How To Trade: https://t.co/flClFjeSD7 $AAPL $TWTR $FB $GPRO $TSLA $GRPN $SPY htt…",FALSE,0,NA,2015-12-12 03:56:48,FALSE,NA,"675524678715355136",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","diggingplatinum",2,TRUE,FALSE,NA,NA
"32","RT @1LuckyJimmy: BBRY BlackBerry Market Cap
https://t.co/hlxzHfVJfE

$BBRY $CUBE $TWTR $RY.TO #BBRY #stocks #stock",FALSE,0,NA,2015-12-12 03:52:18,FALSE,NA,"675523544160145408",NA,"<a href=""http://dashboard.ladderr.com"" rel=""nofollow"">Ladderr</a>","SkilledAcademy",1,TRUE,FALSE,NA,NA
"33","$TWTR always possible to see the stock break below $20, but it only becomes a better deal.",FALSE,1,NA,2015-12-12 03:51:24,FALSE,NA,"675523319047651329",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","Stonefoxcapital",0,FALSE,FALSE,NA,NA
"34","TWTR Twitter, Inc. Stock Message Board
https://t.co/n23nfe09vv

$TWTR $V $CVX $X #TWTR #nasdaq #share",FALSE,0,NA,2015-12-12 03:49:34,FALSE,NA,"675522857900752896",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","nasdaqfan",0,FALSE,FALSE,NA,NA
"35","TWTR Twitter, Inc. Stock Message Board
https://t.co/ICSKHHNkRu

$TWTR $V $CVX $X #TWTR #nasdaq #share",FALSE,0,NA,2015-12-12 03:49:34,FALSE,NA,"675522855665176576",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","nasdaqfan",0,FALSE,FALSE,NA,NA
"36","RT @DennyT14: EXPE Expedia, Inc Yield
https://t.co/5e9gUhxNFt

$EXPE $TWTR $LABU $CHKP #EXPE #investing #stocks",FALSE,0,NA,2015-12-12 03:49:23,FALSE,NA,"675522813315440640",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","options_answers",1,TRUE,FALSE,NA,NA
"37","RT @matthew_rinal: Texas Governor To Obama: No Syrian Refugees In The Lone Star State https://t.co/pknxTX3jCw $AAPL $TSLA $TWTR $FB",FALSE,0,NA,2015-12-12 03:48:11,FALSE,NA,"675522507387101184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mizwizmizwiz",2,TRUE,FALSE,NA,NA
"38","$TWTR with ad relevance. https://t.co/cwIpuX1qsv",FALSE,2,NA,2015-12-12 03:47:33,FALSE,NA,"675522347953078272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Singal3",0,FALSE,FALSE,NA,NA
"39","@NathanCHubbard @warriors should buy $twtr",FALSE,0,"NathanCHubbard",2015-12-12 03:43:42,FALSE,"675519620082614273","675521380138422272","21969650","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","636_OC",0,FALSE,FALSE,NA,NA
"40","EXPE Expedia, Inc Yield
https://t.co/5e9gUhxNFt

$EXPE $TWTR $LABU $CHKP #EXPE #investing #stocks",FALSE,1,NA,2015-12-12 03:38:05,FALSE,NA,"675519968356667395",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","DennyT14",1,FALSE,FALSE,NA,NA
"41","DWTI VelocityShares 3x Inverse Crude ETN Bid
https://t.co/bedakZfc3A

$DWTI $LABU $DOW $TWTR #DWTI #nasdaq #invest",FALSE,0,NA,2015-12-12 03:37:12,FALSE,NA,"675519745618288640",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Jake132013",0,FALSE,FALSE,NA,NA
"42","BBRY BlackBerry Market Cap
https://t.co/hlxzHfVJfE

$BBRY $CUBE $TWTR $RY.TO #BBRY #stocks #stock",FALSE,2,NA,2015-12-12 03:34:05,FALSE,NA,"675518961639755776",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","1LuckyJimmy",1,FALSE,FALSE,NA,NA
"43","60% BLACK FRIDAY Sale - #1 Stock Alerts For All Traders! Ends Midnight Saturday! https://t.co/xLJh4Gr2s3 #stockalerts $FB $TWTR",FALSE,0,NA,2015-12-12 03:32:05,FALSE,NA,"675518459799736320",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","KCapitalAlerts",0,FALSE,FALSE,NA,NA
"44","A collection of testimonials from satisfied super_trades subscribers! https://t.co/8Kw6aIjmUp $TSLA $LULU $BITA $TWTR",FALSE,0,NA,2015-12-12 03:28:37,FALSE,NA,"675517585442471937",NA,"<a href=""https://smqueue.com"" rel=""nofollow"">smqueue</a>","SmallCaps33",0,FALSE,FALSE,NA,NA
"45","@CarterMansbach @jack @adambain @anthonynoto @twitter if it was it wouldn't be stuck at no growth $twtr",FALSE,0,"636_OC",2015-12-12 03:27:19,FALSE,"675516456423919616","675517256105787392","423657016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","636_OC",0,FALSE,FALSE,NA,NA
"46","@IanNelson9 @LMTentarelli gap up will be sold is my guess. And it's way down so lotta people trapped. Even if they lie on $twtr and say diff",FALSE,0,"IanNelson9",2015-12-12 03:25:21,FALSE,"675512548842676225","675516763744825344","524732173","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lalaruza74",0,FALSE,FALSE,NA,NA
"47","RT @StockTwits: Whoa. Twitter is launching ads for logged out users and its stock is up 7% on that: https://t.co/deDfyLlAAc $TWTR",FALSE,0,NA,2015-12-12 03:22:41,FALSE,NA,"675516093138468865",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1AlOpondo",27,TRUE,FALSE,NA,NA
"48","The Best Investment You can Make Right Now https://t.co/kK1Q2iOGFp $STUDY $TWTR $FB $YHOO $LBIX $LIVE $ZPIN",FALSE,0,NA,2015-12-12 03:22:21,FALSE,NA,"675516009885786112",NA,"<a href=""https://smqueue.com"" rel=""nofollow"">smqueue</a>","Stock_Huntress",0,FALSE,FALSE,NA,NA
"49","L'intensification de la monétisation #Twitter a été bien accueillie par les investisseurs. L'action $TWTR gagne 6% https://t.co/3lf13KY8VD",FALSE,0,"mglkrm",2015-12-12 03:18:53,FALSE,"675514989730512896","675515135964880896","28855946","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mglkrm",0,FALSE,FALSE,NA,NA
"50","Why Now May Be Time to Buy Twitter $twtr https://t.co/pkU6zpRz5H",FALSE,1,NA,2015-12-12 03:10:29,FALSE,NA,"675513020399951872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RieGuy53",0,FALSE,FALSE,NA,NA
"51","$twtr im predicting there will be 13 more bull trap head fakes between now and earnings... Joking lol but $24 test next week for sure!",FALSE,0,NA,2015-12-12 03:07:13,FALSE,NA,"675512200581132288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DStevems",0,FALSE,FALSE,NA,NA
"52","@DavidSeaburg David, why are you so bearish on $TWTR after they are making the right moves finally?  Cut them some slack!",FALSE,1,"DavidSeaburg",2015-12-12 03:07:08,FALSE,NA,"675512177336393728","1537373112","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JDR1024",0,FALSE,FALSE,NA,NA
"53","Day Trading Strategies | We Teach You How To Trade: https://t.co/flClFjeSD7 $AAPL $TWTR $FB $GPRO $TSLA $GRPN $SPY https://t.co/kSeYZw6BJJ",FALSE,1,NA,2015-12-12 03:06:01,FALSE,NA,"675511896301281280",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","WarriorNewsFeed",2,FALSE,FALSE,NA,NA
"54","Canadá Ante Recesión Económica y Difíciles Decisiones Políticas https://t.co/sthHYmlLma #canada $FB $TWTR https://t.co/DiEUccoJpm",FALSE,0,NA,2015-12-12 03:01:32,FALSE,NA,"675510768482299904",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DTAespanol",0,FALSE,FALSE,NA,NA
"55","$MDY Short Sales Updated Friday, December 11, 2015 8:59:22 PM $HAL $INTC $TWTR $SLB https://t.co/HBIsRvvk5k",FALSE,0,NA,2015-12-12 02:55:36,FALSE,NA,"675509275221876736",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","rosnerstocks",0,FALSE,FALSE,NA,NA
"56","Skim the cream of financial news $TWTR $FB $LNKD https://t.co/SdcFckfUFB https://t.co/Pf8PRkQ5vU",FALSE,0,NA,2015-12-12 02:45:44,FALSE,NA,"675506794643513345",NA,"<a href=""http://127.0.0.1:3000/"" rel=""nofollow"">Twitter tweets 111</a>","PortfolioBuzz",0,FALSE,FALSE,NA,NA
"57","Will this innovation help $TWTR generate more revenues? I doubt it: https://t.co/LNC2YjSk9u",FALSE,0,NA,2015-12-12 02:38:59,FALSE,NA,"675505096248004608",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","SFinanciers",0,FALSE,FALSE,NA,NA
"58","Man the stuff trending on twitter keeps getting worse everyday.  I guess ad revenues must be going up. $TWTR",FALSE,1,NA,2015-12-12 02:33:40,FALSE,NA,"675503756708941824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","josephzamudio2",0,FALSE,FALSE,NA,NA
"59","$twtr a lot of fancy talk about logged out users.  Want to say ""show me the money!""  Details details details how will it impact bottom line?",FALSE,1,NA,2015-12-12 02:25:47,FALSE,NA,"675501774661287936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DStevems",0,FALSE,FALSE,NA,NA
"60","$TWTR 24.84 - 1.07 (-4.13%)&lt;&lt; nasty, very close to 23 TARGET, lower -1.37% after Mkt, more pain,.. Slow STOCHASTIC mid cycle, cud go lower..",FALSE,0,NA,2015-12-12 02:14:32,FALSE,NA,"675498941643931648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","petergo99037185",0,FALSE,FALSE,NA,NA
"61","https://t.co/ffqrCe0nGN Computer + Internet Connection + Tim Sykes Trading Strategy = Lifestyle Upgrade! $FB $TWTR $STUDY",FALSE,0,NA,2015-12-12 02:09:38,FALSE,NA,"675497707746684928",NA,"<a href=""https://smqueue.com"" rel=""nofollow"">smqueue</a>","PennySilver1983",0,FALSE,FALSE,NA,NA
"62","$twtr would quadruple! https://t.co/AKuzEYeXEi",FALSE,2,NA,2015-12-12 02:09:37,FALSE,NA,"675497703497932801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","echotoall",0,FALSE,FALSE,NA,NA
"63","What is this new Twitter? $TWTR #Autocorrect",FALSE,1,NA,2015-12-12 02:09:07,FALSE,NA,"675497580428660736",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","TylerSoliday",0,FALSE,FALSE,NA,NA
"64","RT @optionalarmchat: Scary mkts like today are easier when in a good trading room w/good people. E-mail 4 FREE TRIAL or ACESS PRIVATE $TWTR…",FALSE,0,NA,2015-12-12 02:06:34,FALSE,NA,"675496934698782720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","72olds",6,TRUE,FALSE,NA,NA
"65","@1971capital @sacca @jack one of many things pal.. One of many things $twtr",FALSE,1,"1971capital",2015-12-12 01:59:08,FALSE,"675487527122378752","675495065859530752","1018083266","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarterMansbach",0,FALSE,FALSE,NA,NA
"66","RT @tradewithjoe: Think Or Swim Training Video Is Live 
https://t.co/UstZBf7XHj
$SPY $QQQ $DIA $IWM $BABA $AAPL $FB $GDX $USO $TWTR $AMZN $…",FALSE,0,NA,2015-12-12 01:56:04,FALSE,NA,"675494294359293952",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","diggingplatinum",1,TRUE,FALSE,NA,NA
"67","https://t.co/kjjiAh7er2 &lt;- the number one reason you will fail or succeed as a trader $LIVE $NVEE $CAMT $NQ $TWTR $STUDY",FALSE,0,NA,2015-12-12 01:53:48,FALSE,NA,"675493725200449536",NA,"<a href=""https://smqueue.com"" rel=""nofollow"">smqueue</a>","SmallCaps33",0,FALSE,FALSE,NA,NA
"68","TWTR Twitter, Inc. Ideas
https://t.co/Qe1TdvCnrs

$TWTR $XLP $XOM $JNJ #TWTR #investing #invest",FALSE,0,NA,2015-12-12 01:48:05,FALSE,NA,"675492285480435712",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Jake132013",0,FALSE,FALSE,NA,NA
"69","SH ProShares Short S&amp;P 500 Fund E.P.S.
https://t.co/7oA5dwx1hL

$SH $RSP $MNGA $TWTR #SH #stockmarket #nasdaq",FALSE,0,NA,2015-12-12 01:45:32,FALSE,NA,"675491643743539200",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Jake132013",0,FALSE,FALSE,NA,NA
"70","RT @alphatrends: 20 min wells spent I promise https://t.co/p57dN7Y3Ji $SPY $IWM $QQQ $AAPL $GPRO $TWTR $AMZN https://t.co/bjVR5ObAZ1",FALSE,0,NA,2015-12-12 01:43:25,FALSE,NA,"675491112014864384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaveAllen28",8,TRUE,FALSE,NA,NA
"71","$TWTR Stock Message Board Updated Friday, December 11, 2015 8:07:19 PM $NUGT $XSD $WMT $RSP https://t.co/DWR0gVG5re",FALSE,0,NA,2015-12-12 01:42:04,FALSE,NA,"675490769319292928",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PolgarStocks",0,FALSE,FALSE,NA,NA
"72","RT https://t.co/KzXUZ37oYc CGRA CGrowth Capital, Inc. Prev Close
https://t.co/0b9bMNJQUE

$CGRA $MYEC $WYNN $TWTR #CGRA #nasdaq #stocks",FALSE,0,NA,2015-12-12 01:41:06,FALSE,NA,"675490526834114560",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","BinaryTrading13",0,FALSE,FALSE,NA,NA
"73","GPRO GoPro, Inc. Short Sales
https://t.co/HPxim4Gnmh

$GPRO $EXPE $TWTR $EWU #GPRO #tradeideas #tradeideas",FALSE,0,NA,2015-12-12 01:39:32,FALSE,NA,"675490134935015424",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","rosnerstocks",0,FALSE,FALSE,NA,NA
"74","CGRA CGrowth Capital, Inc. Prev Close
https://t.co/h5nnSDFxsG

$CGRA $MYEC $WYNN $TWTR #CGRA #nasdaq #stocks",FALSE,0,NA,2015-12-12 01:34:33,FALSE,NA,"675488878598348800",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Jake132013",0,FALSE,FALSE,NA,NA
"75","#1 thing ppl r missing about this logged off stuff is now content from $TWTR can go VIRAL to the other 2 billion ppl on the web @sacca @jack",FALSE,3,NA,2015-12-12 01:29:11,FALSE,NA,"675487527122378752",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","1971capital",0,FALSE,FALSE,NA,NA
"76","$TWTR: Analyst action by CLSA on Twitter: https://t.co/4yf4aBsEZG https://t.co/Gv0DdwJ6i0",FALSE,1,NA,2015-12-12 01:28:02,FALSE,NA,"675487237627355136",NA,"<a href=""http://example.com"" rel=""nofollow"">AnalystActionsAA</a>","AnalystActions",0,FALSE,FALSE,NA,NA
"77","$TWTR might be the most incredible content generating machine ever made. possibilities to SEO this stuff into $GOOG is insane @sacca @jack",FALSE,1,NA,2015-12-12 01:26:55,FALSE,NA,"675486957682761728",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","1971capital",0,FALSE,FALSE,NA,NA
"78","$TWTR News Updated Friday, December 11, 2015 8:11:16 PM $TWTR $QCOM $MU $RSX https://t.co/LouccL9rAP",FALSE,0,NA,2015-12-12 01:24:15,FALSE,NA,"675486288397524992",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","IHNewsDesk",0,FALSE,FALSE,NA,NA
"79","In the future vids like Gangnam Style will be posted on $TWTR TV/Vid +pick up a couple hundred mil extra users like its nothing @sacca @jack",FALSE,1,NA,2015-12-12 01:21:21,FALSE,NA,"675485556768415744",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","1971capital",0,FALSE,FALSE,NA,NA
"80","RT @ken_govpur: #TheoryWars Just notified I won Star Wars tix thru @verizon promo. VZ customer $twtr investor-just thrilled. Thank u-never …",FALSE,0,NA,2015-12-12 01:05:28,FALSE,NA,"675481562188660736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Singal3",1,TRUE,FALSE,NA,NA
